"month_name","adv_published","publish_rank","adv_removed","removed_rank","avg_price_per_sqm","avg_square","publication_category","removal_category","rank_difference"
Февраль,2121,1,1403,8,106887.86,62.19,ТОП-3 публикации,Средняя активность,7
Март,2009,2,1601,4,105689.12,60.39,ТОП-3 публикации,Средняя активность,2
Ноябрь,1999,3,1666,2,104681.55,61.37,ТОП-3 публикации,ТОП-3 продаж,1
Апрель,1895,4,1718,1,107597.16,60.80,Средняя активность,ТОП-3 продаж,3
Октябрь,1798,5,1662,3,104281.39,61.15,Средняя активность,ТОП-3 продаж,2
Сентябрь,1667,6,1496,6,107650.64,63.07,Средняя активность,Средняя активность,0
Июнь,1479,7,932,11,106211.71,59.77,Средняя активность,Наименьшие продажи,4
Август,1468,8,1372,9,107056.03,60.57,Средняя активность,Средняя активность,1
Июль,1439,9,1305,10,107316.35,62.67,Средняя активность,Наименьшие продажи,1
Декабрь,1339,10,1460,7,108570.76,61.81,Наименьшая публикация,Средняя активность,3
Январь,1154,11,1540,5,108416.74,60.69,Наименьшая публикация,Средняя активность,6
Май,1070,12,901,12,104693.92,60.06,Наименьшая публикация,Наименьшие продажи,0
