"city","adv_qty","sold_adv_qty","sold_percent","avg_price_sqm","avg_total_area","avg_days_exposition","group"
Кудрово,463,434,"93.74%",95420.47,46.20,160.63,1
Мурино,568,532,"93.66%",85968.38,43.86,149.21,1
Тосно,58,54,"93.10%",58804.15,53.80,163.54,1
Парголово,311,288,"92.60%",90272.96,51.34,156.21,1
Шушары,404,374,"92.57%",78831.93,53.93,152.04,1
Колпино,227,209,"92.07%",75211.73,52.55,147.01,1
Ломоносов,87,80,"91.95%",71811.89,50.89,229.55,1
Кингисепп,84,77,"91.67%",47107.39,52.96,125.47,1
Кронштадт,70,63,"90.00%",79824.39,54.72,159.46,1
Сестрорецк,149,134,"89.93%",103848.09,62.45,214.81,2
Красное Село,136,122,"89.71%",71972.28,53.20,205.81,2
Гатчина,228,203,"89.04%",69004.74,51.02,188.11,2
Новое Девяткино,120,106,"88.33%",76879.07,50.52,175.65,2
Петергоф,154,136,"88.31%",85412.48,51.77,196.57,2
Выборг,192,168,"87.50%",58669.99,56.76,182.33,2
Бугры,104,91,"87.50%",80968.41,47.35,155.90,2
Сосновый Бор,54,47,"87.04%",73937.60,53.60,85.45,2
Сертолово,117,101,"86.32%",69566.26,53.62,173.58,2
Никольское,80,69,"86.25%",57492.98,42.16,237.14,3
Старая,58,50,"86.21%",65615.33,53.70,167.18,3
Янино-1,64,55,"85.94%",70972.98,48.45,116.85,3
Всеволожск,356,305,"85.67%",69052.79,55.83,190.11,3
Коммунар,66,56,"84.85%",57352.91,48.77,236.29,3
Сланцы,79,66,"83.54%",18110.43,48.35,173.67,3
Пушкин,278,231,"83.09%",104158.94,59.74,196.57,3
Волхов,87,68,"78.16%",34912.33,50.25,164.35,3
Отрадное,53,40,"75.47%",56862.11,53.76,204.78,3
